,BAB,CS,GermanBond10Y,GermanyEq,Gold,JapanBond10Y,JapanEq,Oil,TRCommodity,UKEq,UMD_Large,UMD_Small,USBond10Y,USEq
1890-08-31,,,,0.12197949219024444,0.1322193897436094,0.3937527392182674,0.01930239328111372,0.05055479636252206,,,,,0.1349098290573507,0.14728136014689228
1891-08-31,,,,0.12188926719286299,0.13377503393763865,0.3914823013139518,0.021489679096316657,0.05103014591114713,,,,,0.13499660494747248,0.1453369676006103
1892-08-31,,,,0.12147367453053089,0.13485971758678,0.3901251091236281,0.023230059792857326,0.051171361956807715,,,,,0.13450525077995756,0.14463482622943846
1893-08-31,,,,0.12156439346798925,0.1364182576145905,0.3892560134277882,0.024466958705674908,0.051499973460207446,,,,,0.1341952180164206,0.14259918530732923
1894-08-31,,,,0.15710770115074427,0.17794981277328073,0.3013762768705658,0.019769672371419952,0.04805208494551542,,,,,0.14511483966227556,0.15062961222619847
1895-08-31,,,,0.15835884282036822,0.18065680875275503,0.29717877327821357,0.020862592507714096,0.0475170200644637,,,,,0.14494378836607685,0.15048217421040871
1896-08-31,,,,0.1575675756444168,0.18137169720763013,0.29690305787944393,0.021128091412330727,0.04758744251171225,,,,,0.14487947727123665,0.15056265807322963
1897-08-31,,,,0.15893434029961706,0.18444878908997897,0.2944725318201457,0.02124690141075392,0.04825597201248548,,,,,0.14494348537947407,0.14769797998754494
1898-08-31,,,,0.1254160517274898,0.14651598545092473,0.2769827454973556,0.01765083069602481,0.04997815983650061,,,,,0.18774805589750926,0.19570817089419534
1899-08-31,,,,0.1648557674054771,0.19894040360452642,0.28411798531540056,0.017543482663754384,0.05278935855358008,,,,,0.1415520738636316,0.14020092859362987
1900-08-31,,,,0.16561733937039844,0.20059614787052196,0.28015170572055326,0.017581979549912113,0.05313940420901963,,,,,0.14235885411482727,0.14055456916476736
1901-08-31,,,,0.16480370436468103,0.2025797755883562,0.27922593045357813,0.01770628487641656,0.05355562619900592,,,,,0.1442690395206719,0.13785963899729023
1902-08-31,,,,0.1649482932776896,0.2042984967359442,0.27642057355891464,0.017966265234172028,0.05393571146980814,,,,,0.14425620821584148,0.13817445150762994
1903-08-31,,,,0.16502116141361142,0.2055550573417315,0.2765343859712646,0.01781844724792048,0.05421020483763474,,,,,0.14388815127906415,0.13697259190877317
1904-08-31,,,,0.16816992120076998,0.20710254649213358,0.25552042971746775,0.019310568730018456,0.0532841452046966,,,,,0.1520039361236165,0.14460845253129712
1905-08-31,,,,0.1693113386607974,0.20949483331295599,0.24982885208827424,0.01982878458706773,0.05382624204822281,,,,,0.1532219932250763,0.14448795607760556
1906-08-31,,,,0.16878559148952754,0.21001433977258765,0.249888624435556,0.019930314745167408,0.053845671609859,,,,,0.15285367851425255,0.14468177943304986
1907-08-31,,,,0.1693922283342874,0.21204108718598036,0.2501239049686275,0.019444083873119154,0.054307891661687174,,,,,0.1524869929971247,0.14220381097917367
1908-08-31,,,,0.1703799334634679,0.21458856313820243,0.2488705357250261,0.019501264379819163,0.05492632392351646,,,,,0.15301023658337107,0.13872314278659706
1909-08-31,,,,0.17078863515855752,0.21611790087444255,0.24831348447251683,0.018445494734321614,0.055275606693890006,,,,,0.15288229255153415,0.13817658551473735
1910-08-31,,,,0.17057976926084248,0.21683723412289538,0.2484397234079442,0.01837867281634805,0.055408359476702744,,,,,0.1523518055166016,0.13800443539866553
1911-08-31,,,,0.17022104561113807,0.21716975354390597,0.2492552303459275,0.018298544665953213,0.05546480850855126,,,,,0.1518797752574908,0.13771084206703316
1912-08-31,,,,0.17013506460570751,0.2181531293353868,0.24903135736805349,0.01813910109768373,0.05565614133749602,,,,,0.1515360923363973,0.13734911391927512
1913-08-31,,,,0.17006738841439403,0.21968707907461107,0.24729407881324747,0.018341076910583974,0.05588700533789791,,,,,0.15138100363446585,0.13734236781479967
1914-08-31,,,,0.16961544151373445,0.22058868078609292,0.24675886354275905,0.01849966332418162,0.055970314822548765,,,,,0.1510700445699093,0.13749699144077387
1915-08-31,,,,0.17672098088973381,0.22505567608466742,0.17328736974631107,0.02268349247726382,0.04155031484682397,0.08469938113214502,,,,0.14570321435344916,0.13029957046960575
1916-08-31,,,,0.1649641113116594,0.21542198948682406,0.17406822011450787,0.024194304572360704,0.039648337646991175,0.10935741751106938,,,,0.1437382575959716,0.1286073617606158
1917-08-31,,,,0.1641357330756999,0.2180793434191112,0.17343796567012226,0.026538973419368176,0.04007816407135793,0.09391093963492551,,,,0.14996021096217296,0.13385866974724206
1918-08-31,,,,0.15908625851035585,0.2222824351706457,0.16609833443827654,0.028650057855286612,0.040800070503592446,0.10031732225689904,,,,0.15025967891663128,0.13250584234831259
1919-08-31,,,,0.10819870615348305,0.23308540419836468,0.17146813088527443,0.030802565059576098,0.03696945219747003,0.12581190405962245,,,,0.1548204691574631,0.13884336828874616
1920-08-31,,,,0.11344940031107432,0.2504683713838216,0.16765737430808045,0.03386313929736227,0.03989545763789413,0.10984635547507834,,,,0.15491828678690725,0.1299016147997816
1921-08-31,,,,0.11047196148989824,0.23006991947205654,0.17672804570166742,0.032472129167249474,0.03961255285773854,0.10207048015319371,,,,0.16491476639286418,0.14366014476533187
1922-08-31,,,,0.10693299999963549,0.23355785307750393,0.17335554253672028,0.03424654740558975,0.0396009990295994,0.10526248147097238,,,,0.16450093811444086,0.1425426383655379
1923-08-31,,,,0.042756037081418695,0.24112950821214496,0.19651439634758722,0.03663099983292713,0.040476763256050104,0.10935062782779106,,,,0.17182302831257304,0.16131863912950778
1924-08-31,,,0.015987205659055245,0.037130540580007705,0.1933148858228049,0.1826648213191288,0.03027769443876932,0.03848215282167978,0.12153835366817968,,,,0.17959331999138678,0.20101102569898777
1925-08-31,,,0.025155339650119353,0.037058865151803545,0.19345602458462774,0.18245595787466562,0.03124337115636874,0.038546183210160186,0.11971636775264502,,,,0.1791414155856203,0.19322647503398951
1926-08-31,,,0.03091154583527191,0.03690335714750895,0.19336838534598647,0.18237637599928283,0.032104798511330496,0.03845947957278839,0.12010247312766124,,,,0.17874119918434386,0.18703238527582583
1927-08-31,,,0.035273203908794695,0.036743639948607444,0.1919853701007748,0.1814949754322267,0.03263283619776027,0.03838740419506854,0.12290319997686532,,,,0.17777961617702154,0.18279975406288085
1928-08-31,,,0.039026643883576524,0.03679948956122504,0.19138501728225743,0.18024056198276822,0.03330909449469762,0.038510674822453156,0.12533225470629786,,,,0.1773439509888362,0.17805231227788793
1929-08-31,,,0.04213645686372459,0.036736963567586114,0.19110715765062866,0.18059022429582441,0.03395841707639361,0.0384848441702581,0.12775702333186123,,,,0.17698816595607167,0.17224074708765177
1930-08-31,,,0.04432970431246301,0.036751262804916716,0.2254478993369494,0.18338708759797173,0.03214412433322907,0.03849072754280785,0.10187207045078078,,,,0.17950145882194812,0.15807566479893329
1931-08-31,0.4235050417475405,,0.02757598002930387,0.026989526504629678,0.12071354789965756,0.12361589356039832,0.018303436795276982,0.028286353465598865,0.06995215242217129,,,,0.10150535080906212,0.05955271676636086
1932-08-31,0.2781919450194532,,0.04035323743395212,0.017685128179054006,0.14387180258212073,0.1718304360797389,0.026555203532997975,0.01854403775127118,0.08396108591620742,,,,0.13620515122100132,0.0828019722842031
1933-08-31,0.30163995328565074,,0.04019556634343528,0.020034064607231075,0.13374005719055768,0.16343316790063261,0.025371206544936693,0.021019893562110314,0.08697218290820495,,,,0.12921344210991567,0.07838046554732495
1934-08-31,0.3091825509717079,,0.033431171220919834,0.01530306969201259,0.1189978915121222,0.1304186855473638,0.02378881054424667,0.031952037806323115,0.05384729613289909,0.12297873739469714,,,0.11967804783659601,0.0404217013411115
1935-08-31,0.29396299200726644,,0.042075917783375744,0.030063326166792595,0.14246279061082293,0.11146059878355734,0.03790100613091942,0.02636932486709882,0.04987666970604217,0.11059689444065911,,,0.10642508128783422,0.048805398215631235
1936-08-31,0.30599713133277023,,0.04226916567830292,0.02908193135099099,0.13805112321670332,0.10815672480665355,0.03765259635837522,0.025528991265472502,0.048844034822288156,0.11419549037591864,,,0.10297466766257239,0.04724814312995191
1937-08-31,0.31959017073664475,,0.04203512537885673,0.028043904967740455,0.13333435718063777,0.10382421136272472,0.03713671300775082,0.024648481128105842,0.04734592974478202,0.11955345415680378,,,0.09887961875637831,0.04560803357957458
