,6040,all-weather (original),all-weather (star),risk_parity (tier 2),risk_parity (tier 3),hrp (tier 2),hrp (tier 3),hrp_dd (tier 2),hrp_dd (tier 3),hrp_beta (tier 2),hrp_beta (tier 3),hrp_val (tier 2),hrp_val (tier 3),hrp_strc (tier 2)
1989-04-30,103.26390700041149,7.875466382365985,,9.12963498612791,,7.967996997748027,,7.919641426323279,,7.843026613723899,,8.9227813032801,,7.121816496732848
1989-05-31,107.23399624010784,8.088073999234668,,9.143187824765882,,7.912778102900524,,7.951380717575574,,7.879841902020999,,8.786454673259785,,7.153213692845869
1989-06-30,108.50517136846877,8.279637047516538,,9.308564539419086,,8.053678633829762,,8.0841897773983,,8.025347746602531,,8.962597295881068,,7.242206891867872
1989-07-31,115.55544492814298,8.597951556881904,,9.540979969107926,,8.147227821466835,,8.325549832076192,,8.217529944504584,,8.93971774129442,,7.444853017146226
1989-08-31,116.00568254518664,8.547191845316584,,9.549451553906618,,8.134484487798279,,8.33916843568755,,8.197309889130715,,8.93957577051672,,7.419253005041449
1989-09-30,115.86049494449398,8.564249396851043,,9.566934561300226,,8.178389089425991,,8.315467197681162,,8.198938383080797,,8.99213235619543,,7.486596944077433
1989-10-31,115.5645322759186,8.659556429054525,,9.485527558908656,,8.157863171582743,,8.231629389461732,,8.18220318606293,,8.982047729632717,,7.464755492413695
1989-11-30,117.54788868782386,8.826718611401677,,9.678378246333292,,8.341292253556945,,8.333531987630195,,8.25994927669632,,9.19914164615879,,7.647666350215396
1989-12-31,119.32107531790132,8.887916843265977,,9.824491199432948,,8.399975957269785,,8.458101930871276,,8.330443542228553,,9.249018079208307,,7.748252068655606
1990-01-31,113.28521128343274,8.610412424284718,,9.595843478591416,,8.259502119080626,,8.201992690815073,,8.140509192335648,,9.113596810765541,,7.510649116861683
1990-02-28,114.2238107597727,8.651777896720798,,9.420669799514723,,8.134565763856822,,8.038632150475163,,8.023288582749748,,9.039323193235898,,7.331341193416626
1990-03-31,115.91309523369341,8.652765903750286,,9.358309897831262,,7.997570150795992,,8.057355500666121,,8.059850663625658,,8.940224007603565,,7.17224033721891
1990-04-30,113.32743725149294,8.521760887788151,,9.268713348706907,,7.99121116463636,,7.9744943883032064,,8.010426366844188,,8.964129705503662,,7.1034603484475145
1990-05-31,121.62670529058121,8.92120033259891,,9.538497896370387,,8.13281396231409,,8.243133677794615,,8.196886186336906,,9.107565486517743,,7.396377886866013
1990-06-30,122.00546907405595,8.961114963632614,,9.518899912927345,,8.062108731293307,,8.250089216361292,,8.186209034939793,,9.03302810825547,,7.36008681290668
1990-07-31,122.33413885707887,9.038336397083707,,9.596126255453076,,8.129386781511478,,8.30546500854423,,8.246137306877559,,9.075653151501575,,7.371015676619059
1990-08-31,114.42344592628754,8.683647935311855,,9.245435053184579,,7.932282847008893,,7.997960602828435,,7.956668239859245,,8.850812181366845,,7.017686541452278
1990-09-30,111.64366379254187,8.661582567596977,,9.035189007947887,,7.842801889660343,,7.839648995957611,,7.813264737683209,,8.792243543952264,,6.732640744559316
1990-10-31,112.27147283670007,8.668094660535832,,9.168755530413096,,7.88457820966452,,7.953132038205986,,7.888430668946136,,8.764766374670113,,6.941394292984948
1990-11-30,118.01478610870154,8.97921387463436,,9.256542973816192,,7.896314529664665,,8.08168022261444,,7.953867624411591,,8.740726992867904,,6.93534768132692
1990-12-31,120.85242751446773,9.147938386412797,,9.346638379163402,,7.965862457455263,,8.16525786055273,,8.010613562911152,,8.80643844751988,,7.038480523085135
1991-01-31,124.49937097453102,9.256206524406473,,9.331994459609314,,7.861723392124909,,8.208498616363332,,7.943439958854261,,8.709866855941351,,7.041388246261548
