,6040,all-weather (original),all-weather (star),risk_parity (tier 2),risk_parity (tier 3),hrp (tier 2),hrp (tier 3),hrp_dd (tier 2),hrp_dd (tier 3),hrp_beta (tier 2),hrp_beta (tier 3),hrp_val (tier 2),hrp_val (tier 3),hrp_strc (tier 2)
1965-10-31,13.830810213380566,1.1577384907864707,,1.0951522381302137,,1.1512503930781648,,1.1042478556808177,,1.1121721501568584,,1.0665815199989181,,1.1102804577943557
1965-11-30,13.76628882732499,1.155818148078164,,1.0994578009492515,,1.153536123307586,,1.1089970976225403,,1.1164934008244989,,1.0682987098633467,,1.1135577688055127
1965-12-31,13.811731403244433,1.155794717036839,,1.0989919087308433,,1.1535566031281257,,1.110083010821607,,1.119245761159279,,1.0633893621712456,,1.1129190095548704
1966-01-31,13.894232863164838,,,,,,,,,,,,,
1966-02-28,13.64730983491991,,,,,,,,,,,,,
1966-03-31,13.64376262266794,1.1659572442186892,,1.1042566340060769,,1.1596813505050696,,1.1148998957597576,,1.127212902119901,,1.0690551668092019,,1.121614397688403
1966-04-30,13.817713676443587,1.1725335307242144,,1.0992793028991272,,1.1553837855436915,,1.1109338824814092,,1.1235611805014674,,1.066901106141253,,1.1209031401631686
1966-05-31,13.41045767958601,1.155156054304836,,1.0929892038197384,,1.1495301232153126,,1.1013399155180383,,1.1182962029992525,,1.0602312256026474,,1.1143676607568238
1966-06-30,13.254777694605771,1.1475035457791543,,1.0928115263971292,,1.1537825551690852,,1.1002611579473018,,1.1200875114784272,,1.0647182480345265,,1.1136850852043825
1966-07-31,13.161644903485318,1.1441670374256103,,1.0868720581918654,,1.1556700744737352,,1.0940278799434453,,1.1201871704243254,,1.0627605714956394,,1.1064950641159346
1966-08-31,12.482550965227784,1.1054436807340184,,1.0730375818670077,,1.1448122000964207,,1.0774843899516944,,1.1069695495708027,,1.0433484523720817,,1.0808686009083985
1966-09-30,12.623426339169292,1.1218165693109787,,1.0854417897155817,,1.1517469240178966,,1.088996489045156,,1.116947111149707,,1.0523373369437237,,1.0963413747091093
1966-10-31,13.0250342566814,,,,,,,,,,,,,
1966-11-30,13.028484617491571,,,,,,,,,,,,,
1966-12-31,13.274420416849193,1.1491226090184308,,1.1114448652032147,,1.1703491688472223,,1.1135853289659234,,1.1383537612316597,,1.073766112239358,,1.1243289417322104
1967-01-31,13.99149116045669,,,,,,,,,,,,,
1967-02-28,13.969503775985991,1.142239412081667,,1.1146092095200903,,1.1717535555618075,,1.1162845078812023,,1.1381278889236115,,1.0728371833884007,,1.1233567007961784
1967-03-31,14.447471837774287,1.1693324983953646,,1.1309635991196718,,1.1779079094672391,,1.1296728615841272,,1.1483182756312704,,1.0899585580132543,,1.1412841627026367
1967-04-30,14.755732136457786,1.1745285652618311,,1.1356738352171933,,1.1816844740155061,,1.1344732477762118,,1.1526853014879392,,1.09592428699088,,1.1475360229117646
1967-05-31,14.294691574040787,1.1599591097479798,,1.1422584557931734,,1.1909025606992616,,1.1395333718944674,,1.15810077242448,,1.0976740821089255,,1.1493689971621541
1967-06-30,14.330289454145973,1.1468828700640052,,1.1343827462208063,,1.185208589459748,,1.1307120557681534,,1.1534784117457955,,1.0910615272549768,,1.1424463083568623
1967-07-31,14.815687196501234,1.1700654733802274,,1.1436913555436412,,1.1904429108936099,,1.1407258144151695,,1.1617298349014353,,1.1028558073275145,,1.1547972487055496
1967-08-31,14.706368664295901,1.1626494035995243,,1.1479774337254478,,1.1892050609635847,,1.143657702213518,,1.153912195231508,,1.1018096544844225,,1.1537007582337035
1967-09-30,15.04883779750786,,,,,,,,,,,,,
1967-10-31,14.680423093540869,,,,,,,,,,,,,
1967-11-30,14.700406746616764,,,,,,,,,,,,,
