,mean,std,skew,kurtosis,ir,adj sr,cer,mdd,turnover,sspw
all-weather (star) MC_Iter_42,0.022967083381956365,0.10468210623611988,12.230039376685923,157.73890064520677,0.06333485372926988,0.249424371336171,-0.01347043166708907,-0.14183976002314302,34.875,11.86875
all-weather (star) MC_Iter_43,0.0006267010831906552,0.020220949289479,-0.16087981170338878,-0.008294592628990127,0.008946811395986578,0.03097063993896657,-0.019986629102060866,-0.096090186146357,34.875,11.86875
all-weather (star) MC_Iter_44,0.002597698602458042,0.018544227697059212,0.0680976537380999,-0.13339655169305598,0.040437973797110574,0.14066283673749855,-0.017918133968862528,-0.07216534247684403,34.875,11.86875
all-weather (star) MC_Iter_45,-0.004628848334391814,0.01784612150115709,0.03319717699256345,0.4401988341129006,-0.07487528401411449,-0.2608645190708049,-0.025106574413342908,-0.15788516421909893,34.875,11.86875
all-weather (star) MC_Iter_46,0.014330989499741612,0.07369636035215085,16.543223352074225,299.7371701094682,0.05613574812848977,0.20780442022182755,-0.013815740793989497,-0.10801098839147572,34.875,11.86875
all-weather (star) MC_Iter_47,0.006880163515655783,0.021236406710001054,0.16954812510703207,-0.1449813159795017,0.09352486774426422,0.331401838791971,-0.013796313939273084,-0.07625791818291394,34.875,11.86875
all-weather (star) MC_Iter_48,0.0015033551851903002,0.019382294972163316,-0.08705166509021073,0.08841311058092183,0.022390602405540718,0.07753264644542288,-0.01906015485239162,-0.06226694770283314,34.875,11.86875
all-weather (star) MC_Iter_49,0.015241565005357711,0.07088440199037668,15.55401993118961,276.081862995771,0.0620709310625849,0.22175858778681526,-0.012295332662942266,-0.07110203143180938,34.875,11.86875
all-weather (star) MC_Iter_50,5.485073689182647e-05,0.01980090525184475,0.015234151219240512,0.5115113391380923,0.0007996626241821694,0.0027701342752908128,-0.020533263036296972,-0.0849899253771692,34.875,11.86875
all-weather (star) MC_Iter_51,-0.004134466304048935,0.022594530125059617,0.046947822195490596,-0.3454739546713492,-0.052823298833522235,-0.18357735040331188,-0.024900235491407276,-0.13776662479876223,34.875,11.86875
all-weather (star) MC_Iter_52,-0.0037546471430821315,0.020666778591142812,-0.048895903193281284,0.22639421695859063,-0.052445196749230226,-0.1826374498985679,-0.02439532074908511,-0.14704318652966664,34.875,11.86875
all-weather (star) MC_Iter_53,0.024840089543231282,0.10367733740947116,12.311550732830744,159.24075276846236,0.06916377649552208,0.26784347637091066,-0.01128339589524471,-0.10581213907496934,34.875,11.86875
all-weather (star) MC_Iter_54,-0.0008309137211116541,0.020089679901918074,-0.10368196550079237,-0.3046486846799086,-0.011939669096254856,-0.041399530239593335,-0.021436306578953953,-0.13722782327747485,34.875,11.86875
all-weather (star) MC_Iter_55,0.00992087813564428,0.01883663976569345,-0.1410191652256758,0.056051764364852374,0.1520393693742445,0.5380811007720011,-0.010611350360849476,-0.056420523760604024,34.875,11.86875
all-weather (star) MC_Iter_56,-0.0026600489221662612,0.022099730924136397,-0.016788483422059623,-0.11328959921606607,-0.03474657602262818,-0.12063242070516184,-0.02339264608254511,-0.12600053183591708,34.875,11.86875
all-weather (star) MC_Iter_57,-0.003777332819251471,0.02000704662707341,-0.1823423762885537,0.6871572610461487,-0.054501900272040646,-0.19053194849997895,-0.024377755691358305,-0.11922424524234776,34.875,11.86875
all-weather (star) MC_Iter_58,0.0009470105587421564,0.022313150303925017,0.024199262933370852,0.07614306104563218,0.012251896159168166,0.04245839212069991,-0.01979980445598617,-0.10130133032038491,34.875,11.86875
all-weather (star) MC_Iter_59,0.003364921293833157,0.020763826974663637,-0.1372730874960379,-0.2620610614705705,0.04678179550347434,0.16203451243923422,-0.0172817834721175,-0.0916274941466283,34.875,11.86875
all-weather (star) MC_Iter_60,0.008187859702809793,0.07403634406128547,16.07915581985539,289.0717299056996,0.031925286583512354,0.1272461753342215,-0.020034210660131765,-0.15206842828486988,34.875,11.86875
all-weather (star) MC_Iter_61,0.01241444069220789,0.07584012185112976,16.29775361123002,294.0149306589421,0.0472538842273636,0.1832908176782182,-0.016213145431383427,-0.10492571310148235,34.875,11.86875
all-weather (star) MC_Iter_62,0.0052416757612011745,0.020007904913709927,0.17464461144146978,-0.15634141471645835,0.07562718147617116,0.2663427034303499,-0.015358798627352913,-0.1814641232795623,34.875,11.86875
all-weather (star) MC_Iter_63,-0.0043903223151107165,0.020060991806825496,-0.023231594044619466,0.4617821838580274,-0.06317618278464118,-0.22014269773511683,-0.024993987403520997,-0.16695583175937367,34.875,11.86875
all-weather (star) MC_Iter_64,0.014363000477317022,0.07530503741456308,16.269075697955167,293.33713777914517,0.055059279409813026,0.20543387371247332,-0.014143272512696098,-0.11092962457108013,34.875,11.86875
all-weather (star) MC_Iter_65,0.012817962568507072,0.07410775946304968,16.827201270181142,306.76877381361277,0.04993035947254613,0.19137219264562338,-0.015419977450442773,-0.09998434644990684,34.875,11.86875
