,6040,all-weather (original),all-weather (star),risk_parity (tier 2),risk_parity (tier 3),hrp (tier 2),hrp (tier 3),hrp_dd (tier 2),hrp_dd (tier 3),hrp_beta (tier 2),hrp_beta (tier 3),hrp_val (tier 2),hrp_val (tier 3),hrp_strc (tier 2)
1940-09-30,1.3451293194114746,,,,,,,,,,,,,
1940-10-31,1.379036319466862,,,,,,,,,,,,,
1940-11-30,1.355615784268989,,,,,,,,,,,,,
1940-12-31,1.3610746783536332,,,,,,,,,,,,,
1941-01-31,1.327418693669108,,,,,,,,,,,,,
1941-02-28,1.3166877819329015,,,,,,,,,,,,,
1941-03-31,1.3319019583451532,,,,,,,,,,,,,
1941-04-30,1.2909020152158304,,,,,,,,,,,,,
1941-05-31,1.2978704577654212,,,,,,,,,,,,,
1941-06-30,1.3484214408468596,,,,,,,,,,,,,
1941-07-31,1.403351315365854,,,,,,,,,,,,,
1941-08-31,1.398264257759441,,,,,,,,,,,,,
1941-09-30,1.395208511414534,,,,,,,,,,,,,
1941-10-31,1.3471259353872809,,,,,,,,,,,,,
1941-11-30,1.3178291584628687,,,,,,,,,,,,,
1941-12-31,1.2796878035600439,,,,,,,,,,,,,
1942-01-31,1.2966930953594993,,,,,,,,,,,,,
1942-02-28,1.27454573974974,,,,,,,,,,,,,
1942-03-31,1.2377137631823611,,,,,,,,,,,,,
1942-04-30,1.209236884807202,,,,,,,,,,,,,
1942-05-31,1.2610163755197652,,,,,,,,,,,,,
1942-06-30,1.2801911475448018,,,,,,,,,,,,,
1942-07-31,1.3083890653267294,,,,,,,,,,,,,
1942-08-31,1.3196379149252153,,,,,,,,,,,,,
1942-09-30,1.346327863740449,,,,,,,,,,,,,
1942-10-31,1.4057155873323663,,,,,,,,,,,,,
1942-11-30,1.398091608858782,,,,,,,,,,,,,
1942-12-31,1.450391464951163,,,,,,,,,,,,,
1943-01-31,1.520226015983496,,,,,,,,,,,,,
1943-02-28,1.5725382226049507,,,,,,,,,,,,,
1943-03-31,1.6290590517893992,,,,,,,,,,,,,
1943-04-30,1.6364665338088393,,,,,,,,,,,,,
1943-05-31,1.6917054779062575,,,,,,,,,,,,,
1943-06-30,1.7195540296123397,,,,,,,,,,,,,
1943-07-31,1.6628347831246315,,,,,,,,,,,,,
1943-08-31,1.6783805313350895,,,,,,,,,,,,,
1943-09-30,1.7098125453502617,,,,,,,,,,,,,
1943-10-31,1.6996694726587984,,,,,,,,,,,,,
1943-11-30,1.6201889412810342,,,,,,,,,,,,,
1943-12-31,1.685975407108507,,,,,,,,,,,,,
1944-01-31,1.7072468400106378,,,,,,,,,,,,,
1944-02-29,1.712752390081761,,,,,,,,,,,,,
1944-03-31,1.7359377305855248,,,,,,,,,,,,,
1944-04-30,1.7279484285781441,,,,,,,,,,,,,
1944-05-31,1.7761036311350196,,,,,,,,,,,,,
1944-06-30,1.8371355153584907,,,,,,,,,,,,,
1944-07-31,1.819064241843173,,,,,,,,,,,,,
1944-08-31,1.836684972990601,,,,,,,,,,,,,
1944-09-30,1.838453412194605,,,,,,,,,,,,,
1944-10-31,1.8438354696532553,,,,,,,,,,,,,
1944-11-30,1.8543804878730927,,,,,,,,,,,,,
1944-12-31,1.9005330430411775,,,,,,,,,,,,,
1945-01-31,1.9324215740335577,,,,,,,,,,,,,
1945-02-28,2.0140704348976084,,,,,,,,,,,,,
1945-03-31,1.966363863469005,,,,,,,,,,,,,
1945-04-30,2.084994297061448,,,,,,,,,,,,,
1945-05-31,2.105681838681606,,,,,,,,,,,,,
1945-06-30,2.1107474340428283,,,,,,,,,,,,,
1945-07-31,2.0881977442959525,,,,,,,,,,,,,
1945-08-31,2.1705547675349175,,,,,,,,,,,,,
1945-09-30,2.2362036041660827,,,,,,,,,,,,,
1945-10-31,2.290024595223008,,,,,,,,,,,,,
1945-11-30,2.347733947381579,,,,,,,,,,,,,
1945-12-31,2.359896955417934,,,,,,,,,,,,,
1946-01-31,2.4696267869510313,,,,,,,,,,,,,
1946-02-28,2.371714144375403,,,,,,,,,,,,,
1946-03-31,2.445008948731391,,,,,,,,,,,,,
1946-04-30,2.4941088504383675,,,,,,,,,,,,,
1946-05-31,2.533988118650948,,,,,,,,,,,,,
1946-06-30,2.480470864864111,,,,,,,,,,,,,
1946-07-31,2.4441120095297117,,,,,,,,,,,,,
1946-08-31,2.3360117230886406,,,,,,,,,,,,,
1946-09-30,2.1968532222795703,,,,,,,,,,,,,
1946-10-31,2.195445278607931,,,,,,,,,,,,,
1946-11-30,2.180258525891819,,,,,,,,,,,,,
1946-12-31,2.247570603653693,,,,,,,,,,,,,
1947-01-31,2.288528573002713,,,,,,,,,,,,,
1947-02-28,2.276908646848103,,,,,,,,,,,,,
1947-03-31,2.261042374883774,,,,,,,,,,,,,
1947-04-30,2.2136171453116003,,,,,,,,,,,,,
1947-05-31,2.209414912146075,,,,,,,,,,,,,
1947-06-30,2.2819226879483385,,,,,,,,,,,,,
1947-07-31,2.340105388098314,,,,,,,,,,,,,
1947-08-31,2.308776055200215,,,,,,,,,,,,,
1947-09-30,2.2925181870755837,,,,,,,,,,,,,
1947-10-31,2.3221256607704484,,,,,,,,,,,,,
1947-11-30,2.2814288477347033,,,,,,,,,,,,,
1947-12-31,2.305646897957065,,,,,,,,,,,,,
1948-01-31,2.2590749838553643,,,,,,,,,,,,,
1948-02-29,2.2059168831992726,,,,,,,,,,,,,
1948-03-31,2.3126303850096,1.0,,,,,,,,,,,,
1948-04-30,2.3585905995871053,1.0,,,,,,,,,,,,
1948-05-31,2.4857296458493225,1.0,,,,,,,,,,,,
1948-06-30,2.4913365927724658,1.0,,,,,,,,,,,,
1948-07-31,2.413807301817806,1.0,,,,,,,,,,,,
1948-08-31,2.432362104709437,1.0,,,,,,,,,,,,
1948-09-30,2.398498373412357,1.0,,,,,,,,,,,,
1948-10-31,2.502622304971429,1.0,,,,,,,,,,,,
1948-11-30,2.3465882911322,1.0,,,,,,,,,,,,
1948-12-31,2.4013081511359373,1.0,,,,,,,,,,,,
1949-01-31,2.4174447740309,,,,,,,,,,,,,
1949-02-28,2.370155157677679,,,,,,,,,,,,,
1949-03-31,2.4253621306493596,,,,,,,,,,,,,
1949-04-30,2.4057306798455036,,,,,,,,,,,,,
1949-05-31,2.3627826528888924,,,,,,,,,,,,,
1949-06-30,2.3760620164757253,,,,,,,,,,,,,
1949-07-31,2.476486929550311,,,,,,,,,,,,,
1949-08-31,2.5102319266144457,1.0119788243082402,,,,,,,,,,,,
1949-09-30,2.552636895570336,1.019453810762502,,,,,,,,,,,,
1949-10-31,2.609605292345949,,,,,,,,,,,,,
1949-11-30,2.622475606929767,1.022315366936151,,,,,,,,,,,,
1949-12-31,2.7088155165393113,1.0388291092201243,,,,,,,,,,,,
1950-01-31,2.738343058076254,1.0442175001727725,,,,,,,,,,,,
1950-02-28,2.7642028466903366,1.0449709912593255,,,,,,,,,,,,
1950-03-31,2.7804310395978673,1.0460357644004656,,,,,,,,,,,,
1950-04-30,2.8641623934006732,,,,,,,,,,,,,
1950-05-31,2.9453171502870354,1.0604969062276062,,,,,,,,,,,,
1950-06-30,2.842641880406502,,,,,,,,,,,,,
1950-07-31,2.8706382081107726,1.0777166228612478,,,,,,,,,,,,
1950-08-31,2.9421774450183467,1.095387473158684,,,,,,,,,,,,
1950-09-30,3.05593826850885,1.1178687114792796,,,,,,,,,,,,
1950-10-31,3.0727589583911583,1.1217172232688006,,,,,,,,,,,,
1950-11-30,3.0823433275588417,1.1284601169986104,,,,,,,,,,,,
1950-12-31,3.190510883701595,1.1593892095412246,,,,,,,,,,,,
1951-01-31,3.3276752817055577,1.1979542805315149,,,,,,,,,,,,
1951-02-28,3.348238398409758,1.202682037158194,,,,,,,,,,,,
1951-03-31,3.307604197707456,1.1829994262922088,,,,,,,,,,,,
1951-04-30,3.4095540938440356,1.1995937841733029,,,,,,,,,,,,
1951-05-31,3.3271907183788767,1.1780994868457455,,,,,,,,,,,,
1951-06-30,3.2871750969906417,1.1645888607021055,,,,,,,,,,,,
1951-07-31,3.4532760725309637,1.1959227380872286,,,,,,,,,,,,
1951-08-31,3.5666989819217054,1.2208577497267785,,,,,,,,,,,,
1951-09-30,3.563782956318863,1.2180058677730292,,,,,,,,,,,,
1951-10-31,3.543008239131982,1.2114741013504413,,,,,,,,,,,,
1951-11-30,3.546849208816962,1.211854883141306,,,,,,,,,,,,
1951-12-31,3.653080145396978,1.23138295966449,,,,,,,,,,,,
1952-01-31,3.7018107387610417,1.2406555043441059,,,,,,,,,,,,
1952-02-29,3.6276467320466717,1.2221678369570612,,,,,,,,,,,,
1952-03-31,3.7449123192992237,1.239101300716476,,,,,,,,,,,,
1952-04-30,3.6756214727861627,1.2276144012228563,,,,,,,,,,,,
1952-05-31,3.7448981013055755,1.2434514013142293,,,,,,,,,,,,
1952-06-30,3.8583272296587547,1.260273401057853,,,,,,,,,,,,
1952-07-31,3.907368386452041,1.2685240035936127,,,,,,,,,,,,
1952-08-31,3.8754794925481324,,,,,,,,,,,,,
1952-09-30,3.8290241913288554,1.2554577482604075,,,,,,,,,,,,
