DATE,BAB
02/25/1932,-0.007417923
02/26/1932,-0.001223094
02/27/1932,-0.004148753
02/29/1932,0.015348385
03/01/1932,-0.016757871
03/02/1932,0.008907914
03/03/1932,-0.00123733
03/04/1932,0.005196527
03/05/1932,-0.002039975
03/07/1932,-0.008463017
03/08/1932,0.012350637
03/09/1932,0.004020836
03/10/1932,0.014579632
03/11/1932,0.004492068
03/12/1932,-0.006559832
03/14/1932,0.010977109
03/15/1932,0.001779032
03/16/1932,0.012609206
03/17/1932,-0.014564339
03/18/1932,0.020946437
03/19/1932,-0.008032199
03/21/1932,0.012034794
03/22/1932,-0.008074166
03/23/1932,-0.008570455
03/24/1932,0.005158269
03/25/1932,0
03/26/1932,0.000997707
03/28/1932,-0.001921977
03/29/1932,0.012929984
03/30/1932,-0.020156638
03/31/1932,0.007582777
04/01/1932,0.019054226
04/02/1932,0.029315066
04/04/1932,-0.027695999
04/05/1932,0.015323292
04/06/1932,0.012659356
04/07/1932,-0.016689539
04/08/1932,0.013295919
04/09/1932,-0.010370128
04/11/1932,-0.036577762
04/12/1932,0.002445069
04/13/1932,0.004893967
04/14/1932,-0.001415838
04/15/1932,-0.013774059
04/16/1932,0.010772528
04/18/1932,-0.015503967
04/19/1932,-0.004522722
04/20/1932,-0.019124082
04/21/1932,-0.013793462
04/22/1932,0.015258024
04/23/1932,-0.004616891
04/25/1932,0.005681351
04/26/1932,-0.012161225
04/27/1932,-0.004189547
04/28/1932,0.003964524
04/29/1932,-0.005527506
04/30/1932,0.0113561
05/02/1932,-0.004481865
05/03/1932,0.010744639
05/04/1932,0.014492498
05/05/1932,-0.001313115
05/06/1932,-0.013945906
05/07/1932,-0.007157271
05/09/1932,0.021969749
05/10/1932,-0.019174965
05/11/1932,0.00059329
05/12/1932,-0.003589825
05/13/1932,0.005276009
05/14/1932,0.000842375
05/16/1932,0.005857655
05/17/1932,0.003265082
05/18/1932,0.004544439
05/19/1932,-0.009598274
05/20/1932,0.005299761
05/21/1932,0.003837136
05/23/1932,0.002135143
05/24/1932,0.004027483
05/25/1932,0.00471349
05/26/1932,-0.02120478
05/27/1932,0.037096513
05/28/1932,-0.004917609
05/30/1932,0
05/31/1932,-0.025772877
06/01/1932,-0.032425781
06/02/1932,0.003380216
06/03/1932,-0.002934832
06/04/1932,-0.033362721
06/06/1932,0.00485884
06/07/1932,0.003937008
06/08/1932,-0.009077528
06/09/1932,0.016385684
06/10/1932,-0.028346914
06/11/1932,-0.021001708
06/13/1932,0.013838012
06/14/1932,-0.002561601
06/15/1932,-0.006090342
06/16/1932,-0.003874991
06/17/1932,0.030688792
06/18/1932,0.00152868
06/20/1932,-0.012153036
06/21/1932,-0.001850165
06/22/1932,0.01550324
06/23/1932,0.01271989
06/24/1932,-0.002694636
06/25/1932,-0.005048841
06/27/1932,0.024800948
06/28/1932,-0.004600625
06/29/1932,0.001778855
06/30/1932,0.009718217
07/01/1932,0.028114861
07/04/1932,0
07/05/1932,-0.03892781
07/06/1932,-0.003658555
07/07/1932,-0.003384901
07/08/1932,-0.007743364
07/09/1932,-0.008824218
07/11/1932,0.004490719
07/12/1932,-0.012433186
07/13/1932,0.00266078
07/14/1932,-0.02410844
07/15/1932,0.013054678
07/16/1932,-0.003011615
07/18/1932,0.003054073
07/19/1932,0.009418723
07/20/1932,-0.027902238
07/21/1932,-0.018817324
07/22/1932,-0.00457696
07/23/1932,0.004494442
07/25/1932,-0.030195961
07/26/1932,0.028986902
07/27/1932,-0.020621393
07/28/1932,-0.042432056
07/29/1932,-0.041092599
07/30/1932,-0.01913912
08/01/1932,-0.017664073
08/02/1932,0.026198092
08/03/1932,-0.034493333
08/04/1932,0.009563291
08/05/1932,-0.010663163
08/06/1932,-0.004765667
08/08/1932,-0.015739242
08/09/1932,-0.002088095
08/10/1932,-0.016385354
08/11/1932,-0.022742814
08/12/1932,0.087658431
08/13/1932,0.003749738
08/15/1932,-0.034031849
08/16/1932,-0.032861949
08/17/1932,0.03545501
08/18/1932,-0.001691031
08/19/1932,0.002513122
08/20/1932,-0.013181897
08/22/1932,-0.025850075
08/23/1932,-0.024599416
08/24/1932,-0.027345306
08/25/1932,0.000104434
08/26/1932,-0.043784208
08/27/1932,-0.02738164
08/29/1932,0.019213497
08/30/1932,0.021553826
08/31/1932,0.022837012
09/01/1932,-0.003711362
09/02/1932,0.014675841
09/03/1932,-0.027947909
09/05/1932,0
09/06/1932,0.017829386
09/07/1932,-0.005756527
09/08/1932,0.023200111
09/09/1932,0.003893465
09/10/1932,0.016978882
09/12/1932,0.038813427
09/13/1932,0.007190176
09/14/1932,0.031776219
09/15/1932,-0.023981124
09/16/1932,0.008986502
09/17/1932,0.009320053
09/19/1932,-0.000866086
09/20/1932,-0.017237096
09/21/1932,-0.049309071
09/22/1932,0.040390944
09/23/1932,-0.010506734
09/24/1932,-0.024997002
09/26/1932,0.022357001
09/27/1932,-0.007916068
09/28/1932,-0.000852286
09/29/1932,0.001159043
09/30/1932,-0.009661761
10/01/1932,-0.004958455
10/03/1932,0.016391428
10/04/1932,-0.00416691
10/05/1932,0.034681752
10/06/1932,0.005918968
10/07/1932,0.0130239
10/08/1932,0.018398445
10/10/1932,0.006152645
10/11/1932,-0.015021768
10/12/1932,0
10/13/1932,0.01638563
10/14/1932,-0.016689322
10/15/1932,-0.006707146
10/17/1932,-0.003604724
10/18/1932,0.007948449
10/19/1932,-0.003131615
10/20/1932,-0.013235791
10/21/1932,0.009963244
10/22/1932,0.004201657
10/24/1932,-0.00626003
10/25/1932,0.007815014
10/26/1932,-0.012395206
10/27/1932,0.004422985
10/28/1932,-0.007795085
10/29/1932,0.007428892
10/31/1932,0.002477712
11/01/1932,0.013573672
11/02/1932,0.010481995
11/03/1932,0.002982731
11/04/1932,-0.015381673
11/05/1932,-0.004459833
11/07/1932,-0.026531076
11/08/1932,0
11/09/1932,0.006784301
11/10/1932,-0.029985104
11/11/1932,-0.006600304
11/12/1932,-0.013833611
11/14/1932,0.020397947
11/15/1932,0.007517366
11/16/1932,0.021915801
11/17/1932,0.010967185
11/18/1932,0.005160172
11/19/1932,-0.010408627
11/21/1932,-0.001196202
11/22/1932,0.003179621
11/23/1932,0.016505247
11/24/1932,0
11/25/1932,0.007329569
11/26/1932,-0.001393754
11/28/1932,0.000112881
11/29/1932,0.006509428
11/30/1932,0.01615299
12/01/1932,-0.008594247
12/02/1932,0.017832192
12/03/1932,0.009846126
12/05/1932,-0.013110954
12/06/1932,-0.0153175
12/07/1932,-0.011990327
12/08/1932,0.001656983
12/09/1932,0.006368268
12/10/1932,0.005589805
12/12/1932,-0.00235511
12/13/1932,0.010199723
12/14/1932,-0.008916105
12/15/1932,0.005752147
12/16/1932,0.016420644
12/17/1932,-0.005440365
12/19/1932,-0.000865476
12/20/1932,0.005263756
12/21/1932,0.00852413
12/22/1932,0.002769202
12/23/1932,0.007903139
12/24/1932,-0.011561376
12/26/1932,0
12/27/1932,0.00734669
12/28/1932,-0.02420618
12/29/1932,-0.001800149
12/30/1932,-0.005745386
12/31/1932,-0.013835179
01/02/1933,0
