Date,CS_Liquid
9/4/18,1070.86
9/3/18,1065.17
9/2/18,1065.17
9/1/18,1065.17
8/31/18,1065.17
8/30/18,1060
8/29/18,1052.99
8/28/18,1055.19
8/27/18,1055.43
8/26/18,1062.24
8/25/18,1062.24
8/24/18,1062.24
8/23/18,1069.94
8/22/18,1057.95
8/21/18,1057.72
8/20/18,1066.34
8/19/18,1069.22
8/18/18,1069.22
8/17/18,1069.22
8/16/18,1075.06
8/15/18,1075.27
8/14/18,1074.45
8/13/18,1068.19
8/12/18,1066.29
8/11/18,1066.29
8/10/18,1066.29
8/9/18,1059.84
8/8/18,1054.52
8/7/18,1059.24
8/6/18,1057.82
8/5/18,1053.43
8/4/18,1053.43
8/3/18,1053.43
8/2/18,1052.23
8/1/18,1044.8
7/31/18,1050.56
7/30/18,1048.01
7/29/18,1057.45
7/28/18,1057.45
7/27/18,1057.45
7/26/18,1059.2
7/25/18,1052.5
7/24/18,1057.19
7/23/18,1057.23
7/22/18,1060.75
7/21/18,1060.75
7/20/18,1060.75
7/19/18,1076.26
7/18/18,1070.38
7/17/18,1066.34
7/16/18,1055.74
7/15/18,1062.55
7/14/18,1062.55
7/13/18,1062.55
7/12/18,1061.01
7/11/18,1059.06
7/10/18,1052.26
7/9/18,1050.3
7/8/18,1048.25
7/7/18,1048.25
7/6/18,1048.25
7/5/18,1054.17
7/4/18,1057.38
7/3/18,1057.38
7/2/18,1064.57
7/1/18,1057.06
6/30/18,1057.06
6/29/18,1057.06
6/28/18,1064.81
6/27/18,1060.09
6/26/18,1051.63
6/25/18,1044.9
6/24/18,1053.24
6/23/18,1053.24
6/22/18,1053.24
6/21/18,1051.39
6/20/18,1059.46
6/19/18,1054.51
6/18/18,1058.47
6/17/18,1057.96
6/16/18,1057.96
6/15/18,1057.96
6/14/18,1057.52
6/13/18,1047.15
6/12/18,1043.51
6/11/18,1043.01
6/10/18,1038.8
6/9/18,1038.8
6/8/18,1038.8
6/7/18,1041.6
6/6/18,1040.67
6/5/18,1047.48
6/4/18,1043.79
6/3/18,1047.18
6/2/18,1047.18
6/1/18,1047.18
5/31/18,1044.23
5/30/18,1041.46
5/29/18,1045.86
5/28/18,1053.93
5/27/18,1053.93
5/26/18,1053.93
5/25/18,1053.93
5/24/18,1055.66
5/23/18,1062.85
5/22/18,1076.95
5/21/18,1074.96
5/20/18,1071
5/19/18,1071
5/18/18,1071
5/17/18,1072.48
5/16/18,1069.12
5/15/18,1068.42
5/14/18,1064.41
5/13/18,1061.67
5/12/18,1061.67
5/11/18,1061.67
5/10/18,1060.12
5/9/18,1061.27
5/8/18,1056.89
5/7/18,1053.6
5/6/18,1050.54
5/5/18,1050.54
5/4/18,1050.54
5/3/18,1046.79
5/2/18,1053.56
5/1/18,1051.28
4/30/18,1055.96
