Date,U.S. Large Cap,U.S. Small Cap
2/1/2010,0.04886199,0.05214778
3/1/2010,0.07177186,0.0899283
4/1/2010,0.04252338,0.083211
5/1/2010,-0.086286394,-0.085125135
6/1/2010,-0.08027674,-0.09275483
7/1/2010,0.087913686,0.080720454
8/1/2010,-0.05554813,-0.090096771
9/1/2010,0.123876105,0.147905546
10/1/2010,0.047967227,0.048365769
11/1/2010,0.017887325,0.038837581
12/1/2010,0.045368694,0.071308089
1/1/2011,0.013768961,0.00115614
2/28/2011,0.042721143,0.059130554
3/31/2011,0.017675922,0.038864619
4/30/2011,0.02030805,0.023310892
5/31/2011,-0.017969698,-0.019878408
6/30/2011,-0.013814682,-0.01282572
7/31/2011,-0.024978223,-0.02644499
8/31/2011,-0.074428368,-0.105967049
9/30/2011,-0.11430679,-0.13347809
10/31/2011,0.111710658,0.177340311
11/30/2011,-0.000565868,0.001633589
12/31/2011,0.006299841,0.002046497
1/31/2012,0.027403122,0.059814079
2/29/2012,0.052040911,0.032878027
3/31/2012,0.037919279,0.032103107
4/30/2012,0.005170697,-0.00905225
5/31/2012,-0.043745915,-0.054537067
6/30/2012,0.032511722,0.04542632
7/31/2012,0.018206665,0.004907403
8/31/2012,0.016000727,0.030173172
9/30/2012,0.021369844,0.030211542
10/31/2012,-0.027625277,-0.013963295
11/30/2012,0.01120194,0.01042241
12/31/2012,-0.003459686,0.033493492
1/31/2013,0.032489585,0.066734921
2/28/2013,0.008276294,0.009531283
3/31/2013,0.037588076,0.059105259
4/30/2013,0.021600911,0.00037261
5/31/2013,0.0112,0.0335
6/30/2013,-0.009820653,0.003265386
7/31/2013,0.070421922,0.081216561
8/31/2013,-0.031383149,-0.032931796
9/30/2013,0.046,0.0708
10/31/2013,0.042367533,0.022827587
11/30/2013,0.041300435,0.047131342
12/31/2013,0.02460398,0.02419563
1/31/2014,-0.019741865,-0.023836746
2/28/2014,0.057687146,0.052074396
3/31/2014,-0.021857135,-0.016681625
4/30/2014,-0.02453788,-0.053513599
5/31/2014,0.039317933,-0.00225786
6/30/2014,0.031358186,0.074450289
7/31/2014,-0.014560226,-0.060270039
8/31/2014,0.046073645,0.054208661
9/30/2014,-0.026621048,-0.059842231
10/31/2014,0.023790477,0.05964404
11/30/2014,0.029668602,-0.00141977
12/31/2014,-0.0109,0.0251
1/31/2015,-0.007272592,-0.01456292
2/28/2015,0.045763268,0.046949458
3/31/2015,-0.013956822,0.017770826
4/30/2015,-0.0201,-0.0435
5/31/2015,0.031340246,0.027726157
6/30/2015,-0.0158,0.0091
7/31/2015,0.033080949,0.007
8/31/2015,-0.065055565,-0.067615223
9/30/2015,-0.026845701,-0.039647519
10/31/2015,0.067056314,0.049935956
11/30/2015,0.006219579,0.046128265
12/31/2015,-0.002502319,-0.053539784
1/31/2016,-0.053746564,-0.100495484
2/29/2016,-0.0204,-0.01
3/31/2016,0.0629,0.0709
4/30/2016,-0.0099,0.018096968
5/31/2016,0.021251366,0.022426851
6/30/2016,0.021259932,0.006241249
7/31/2016,0.036511744,0.059706705
8/31/2016,-0.011072254,0.011007878
9/30/2016,0.000382777,0.008499073
10/31/2016,-0.030062569,-0.052183308
11/30/2016,0.0143,0.1127
12/31/2016,0.0179,0.0146
1/31/2017,0.019651688,0.009491947
2/28/2017,0.023978334,0.006171581
3/31/2017,-0.004146082,-0.001691933
4/30/2017,0.009875935,0.010401792
5/31/2017,0.008927538,-0.028860888
6/30/2017,0.016512633,0.045565955
7/31/2017,0.03710528,0.0157
8/31/2017,0.017785847,-0.0084
9/30/2017,0.016478102,0.0753
10/31/2017,0.048922274,0.014393793
11/30/2017,0.022068175,0.028482458
12/31/2017,0.004009885,-0.001063271
1/30/2018,0.083396465,0.036731634
2/28/2018,-0.015264544,-0.029924282
3/31/2018,-0.028368075,0.008686309
4/30/2018,0.008581407,0.007511076
5/31/2018,0.036177367,0.085793753
6/30/2018,-0.003135645,0.012126653
7/31/2018,0.0169657,0.013454832
8/30/2018,0.067827375,0.051916027
9/30/2018,-0.00204516,-0.0379388
10/1/2018,-0.094699727,-0.12030198
11/1/2018,0.00075787,0.006068194
12/1/2018,-0.087260299,-0.120943793
